Player,Position,Height,Weight,40 Yard,Bench,Vertical
"Maddox, Avonte",DB,5980,184,4.39,13,37
"Reed, D.J.",DB,5980,188,4.51,11,36.5
"Haley, Grant",DB,5980,190,4.44,15,34
"Johnson, Danny",DB,5980,181,4.44,15,35
"Fant, Rashard",DB,5980,179,4.47,15,36.3
"Jackson, J.C.",DB,5980,201,4.46,14,35.5
"Phillips, Darius",DB,5980,193,4.54,14,36.3
"Hughes, Mike",DB,5990,189,4.53,20,35.5
"Nickerson, Perry",DB,5990,182,4.32,15,36.3
"Whitehead, Jordan",DB,5990,198,4.47,21,36.3
"Jackson, Donte",DB,5990,178,4.32,7,36.3
"Moore, Kamren",DB,5990,202,4.47,15,36.3
"Chandler, Sean",DB,5990,205,4.65,16,34.5
"Watts, Armani",DB,5990,202,4.47,13,35
"Dawson, Duke",DB,5990,197,4.46,15,36.3
"Nelson, Nick",DB,5990,200,4.52,17,36.3
"Jamerson, Natrell",DB,5990,201,4.4,25,35.5
"Sullivan, Chandon",DB,5990,194,4.6,15,40.5
"Webb, Damon",DB,5990,209,4.62,17,36.3
"Stewart, M.J.",DB,5990,200,4.54,18,35
"Ward, Denzel",DB,5990,183,4.32,16,39
"Smith, Van",DB,5990,186,4.61,14,29.5
"Stroman, Greg",DB,5990,182,4.48,16,33.5
"Averett, Anthony",DB,5990,183,4.36,13,31.5
"Johnson, Taron",DB,5990,192,4.5,17,33
"Wade, D'Montre",DB,5990,206,4.57,15,35.5
"Roberts, Stephen",DB,5990,186,4.53,14,34
"Sanders, Dominick",DB,5990,193,4.47,14,36.3
"Harris, Davontae",DB,5990,205,4.43,22,32.5
"Igwebuike, Godwin",DB,5990,213,4.44,19,35.5
"Delaney, Dee",DB,5990,200,4.46,13,32.5
"Chachere, Andre",DB,5990,197,4.49,13,38
"Brown, Tony",DB,5990,199,4.35,14,31.5
"Jones, Chris",DB,5990,200,4.57,14,36.3
"Neal, Siran",DB,6000,206,4.56,17,40.5
"Thomas, Jordan",DB,6001,187,4.64,4,38
"Fitzpatrick, Minkah",DB,6001,204,4.46,14,33
"Oliver, Isaiah",DB,6002,201,4.5,15,36.3
"Wallace, Levi",DB,6002,179,4.63,14,33
"Kalu, Joshua",DB,6002,203,4.58,17,41.5
"Jackson, Joshua",DB,6003,196,4.56,18,38
"Toliver, Henré",DB,6003,188,4.63,6,32.5
"Edmunds, Terrell",DB,6004,217,4.47,14,41.5
"Reid, Justin",DB,6004,207,4.4,16,36.5
"Joseph, Michael",DB,6005,187,4.4,17,34
"Campbell, Chris",DB,6006,195,4.47,14,36.3
"Gaulden, Rashaan",DB,6006,197,4.61,8,30
"King, Jamarcus",DB,6006,185,4.7,15,36.3
"Harris, Marcell",DB,6006,216,4.47,16,36.3
"Yiadom, Isaac",DB,6007,190,4.52,8,36.3
"Elliott, Deshon",DB,6007,210,4.58,15,36
"Walker, Trey",DB,6007,206,4.51,14,33
"Davis, Carlton",DB,6010,206,4.53,16,34
"Meeks, Quenton",DB,6010,209,4.47,11,39
"Redfield, Max",DB,6010,199,4.69,15,36.3
"Bates, Jessie",DB,6011,200,4.5,14,35.5
"Apke, Troy",DB,6012,200,4.34,16,41
"Cruikshank, Dane",DB,6012,209,4.41,25,38.5
"Facyson, Brandon",DB,6014,203,4.53,16,36.3
"Hill, Holton",DB,6015,196,4.49,14,31
"Kelly, Kameron",DB,6015,204,4.66,9,33
"James, Derwin",DB,6016,215,4.47,21,40
"White, Kyzir",DB,6017,218,4.47,21,35.5
"Toliver, Kevin",DB,6020,192,4.47,10,33
"Blanding, Quin",DB,6020,207,4.63,14,31.5
"Harrison, Ronnie",DB,6020,207,4.47,14,34
"Allen, Marcus",DB,6021,215,4.47,15,37
"McFadden, Tarvarus",DB,6022,204,4.67,15,38.5
"Flowers, Tre",DB,6032,202,4.45,18,34.5
"Senat, Deadrin",DL,6000,314,5.16,35,26
"Henderson, Zay",DL,6006,298,5.16,20,29.5
"NNadi, Derrick",DL,6010,317,5.38,25,27
"Adeniyi, Ola",DL,6011,248,4.83,26,31.5
"Hurst, Maurice",DL,6012,292,4.9,26,31
"Winbush, Anthony",DL,6012,249,4.9,25,31
"Lotulelei, Lowell",DL,6015,315,4.9,28,31
"Wicker, JoJo",DL,6016,296,5.16,25,30
"Rolland-Jones, Ja'Von",DL,6017,253,4.88,23,31
"Stallworth, Taylor",DL,6020,312,5.28,18,23.5
"Mata'afa, Hercules",DL,6022,254,4.76,26,31.5
"Street, Kentavius",DL,6022,280,4.87,28,31
"Haynes, Marquis",DL,6023,235,4.67,23,32
"Landry, Harold",DL,6023,252,4.64,24,36
"Jones, Justin",DL,6024,309,5.09,24,29
"Payne, Da'Ron",DL,6024,311,4.95,27,28.5
"Thompson, Trent",DL,6025,288,5.06,26,32.5
"McKenzie, Kahlil",DL,6026,314,5.15,26,29.5
"Settle, Tim",DL,6026,329,5.37,26,23.5
"Wilson, Eddy",DL,6026,301,5.37,26,31
"Looney, James",DL,6026,287,4.89,28,35.5
"Frazier, Joshua",DL,6027,321,4.9,21,31
"Norton, Kendrick",DL,6027,314,5.25,30,31
"Speaks, Breeland",DL,6027,283,4.87,26,32.5
"Rotimi, Bunmi",DL,6031,273,4.9,21,32
"Hill, B.J.",DL,6032,311,4.99,35,26.5
"Phillips, Harrison",DL,6032,307,5.21,42,32
"Lewis, Tyquan",DL,6032,269,4.9,26,35.5
"Brown, Andrew",DL,6033,296,5.03,31,28
"Armstrong, Dorance",DL,6035,257,4.87,20,30
"Hand, Da'Shawn",DL,6035,297,4.83,28,31.5
"Fatukasi, Foley",DL,6036,318,5.29,33,30
"Nichols, Bilal",DL,6036,306,4.95,29,31
"Shepherd, Nathan",DL,6036,315,5.09,26,31
"Fitts, Kylie",DL,6036,263,4.69,31,32.5
"Franklin-Myers, John",DL,6037,283,4.75,26,33
"Young, Trevon",DL,6037,258,4.78,25,33
